stream,filename,size_bytes,closed_name
CH01,CH01_2026-07-07_15-00-00_to_16-00-02.mp4,4072540707,yes
CH01,CH01_2026-07-07_16-00-02_to_17-00-00.mp4,3676651637,yes
CH01,CH01_2026-07-07_17-00-00_to_18-00-01.mp4,3622244879,yes
CH01,CH01_2026-07-07_18-00-01_to_19-00-01.mp4,4119400893,yes
CH01,CH01_2026-07-07_19-00-01_to_20-00-04.mp4,3999812214,yes
CH01,CH01_2026-07-07_20-00-04_to_21-00-00.mp4,3693884213,yes
CH01,CH01_2026-07-07_21-00-00_to_22-00-00.mp4,4562066808,yes
CH01,CH01_2026-07-07_22-00-00_to_23-00-01.mp4,4274931570,yes
CH01,CH01_2026-07-07_23-00-01_to_00-00-02.mp4,4434139590,yes
CH01,CH01_2026-07-08_00-00-02_to_01-00-00.mp4,4415038009,yes
CH01,CH01_2026-07-08_01-00-00_to_02-00-00.mp4,4427604408,yes
CH01,CH01_2026-07-08_02-00-00_to_03-00-00.mp4,4422221748,yes
CH01,CH01_2026-07-08_03-00-00_to_04-00-01.mp4,4449223484,yes
CH01,CH01_2026-07-08_04-00-01_to_05-00-01.mp4,4509870413,yes
CH01,CH01_2026-07-08_05-00-01_to_06-00-00.mp4,4128411481,yes
CH01,CH01_2026-07-08_06-00-00_to_07-00-00.mp4,3693388429,yes
CH01,CH01_2026-07-08_07-00-00_to_08-00-00.mp4,3666862927,yes
CH01,CH01_2026-07-08_08-00-00_to_09-00-01.mp4,3614180752,yes
CH01,CH01_2026-07-08_09-00-01_to_10-00-01.mp4,3641316372,yes
CH01,CH01_2026-07-08_10-00-01_to_11-00-05.mp4,4001509542,yes
CH01,CH01_2026-07-08_11-00-05_to_12-00-01.mp4,3995599535,yes
CH01,CH01_2026-07-08_12-00-01_to_13-00-01.mp4,4165632670,yes
CH01,CH01_2026-07-08_13-00-01_to_14-00-04.mp4,4201742640,yes
CH01,CH01_2026-07-08_14-00-04_to_15-00-00.mp4,4104597028,yes
CH01,CH01_2026-07-08_15-00-00_to_16-00-01.mp4,4141625964,yes
CH01,CH01_2026-07-08_16-00-01_to_17-00-01.mp4,4014110430,yes
CH01,CH01_2026-07-08_17-00-01_to_18-00-01.mp4,3926046149,yes
CH01,CH01_2026-07-08_18-00-01_to_19-00-00.mp4,3824874323,yes
CH01,CH01_2026-07-08_19-00-00_to_20-00-00.mp4,3649871187,yes
CH01,CH01_2026-07-08_20-00-00_to_21-00-01.mp4,3656363257,yes
CH01,CH01_2026-07-08_21-00-01_to_22-00-01.mp4,4540893839,yes
CH01,CH01_2026-07-08_22-00-01_to_23-00-01.mp4,4330784161,yes
CH01,CH01_2026-07-08_23-00-01_to_00-00-00.mp4,4334486696,yes
CH01,CH01_2026-07-09_00-00-00_to_01-00-00.mp4,4350682074,yes
CH01,CH01_2026-07-09_01-00-00_to_02-00-01.mp4,4335598881,yes
CH01,CH01_2026-07-09_02-00-01_to_03-00-00.mp4,4331767019,yes
CH01,CH01_2026-07-09_03-00-00_to_04-00-00.mp4,4303235087,yes
CH01,CH01_2026-07-09_04-00-00_to_05-00-01.mp4,4412977154,yes
CH01,CH01_2026-07-09_05-00-01_to_06-00-03.mp4,4160255853,yes
CH01,CH01_2026-07-09_06-00-03_to_07-00-00.mp4,3557095347,yes
CH01,CH01_2026-07-09_07-00-00_to_08-00-00.mp4,3685270621,yes
